ID,Comprehension,Focus,cDifficulty,Motivation,Concepts,Notes
1917,2.00,1,4,2,"block cipher, DES",
1920,3.00,3,3,4,"circular permutations, combinations",
1923,2.00,2,2,2,,
1924,3.50,2,2,2,,
1925,2.00,1,3,2,,
1927,2.00,1,3,2,,
1933,2.00,2.5,7,4,,
1934,2.00,3,7,3,,
1936,2.00,2,8,2,,
1937,2.00,2,9,2,,
1938,1.00,2.5,1,2,,
1874,3.00,2,2.5,3,,
1946,3.00,1,2,1.5,,
1951,6.00,2.5,2,2,processes,
1956,8.00,4,2,3.5,"BIOS interrupt, HAL, execution mode, real mode, protected mode",
1957,8.00,4,2,3,"NFA, powerset",
1959,8.00,4,2,4,,
1961,6.00,2,,3,,Brain was more sharp
1962,4.00,2,3,3,,
1963,4.00,2,3,2,,
1964,5.00,2.5,4,2,DES,Quiz
1968,8.00,3,2,4,,
1972,2.00,3,5,1,,
1973,6.00,2,2,2,,
1974,8.00,3.5,8,5,,
1976,2.00,3,5,2,,
1977,3.00,2,2.5,2,,
1978,3.00,2,5,1.5,,
1979,3.00,2,3.5,3,,
1982,3.00,2,3,3,,
1983,1.50,2,4.5,1,,
1985,6.00,1.5,4,2,,
1986,4.00,2,5,1,,
1987,4.00,2,3.5,2,,
1988,6.00,1,2,1,,
1990,4.00,1,2,1,,
1996,8.00,4,3,5,,
1997,6.00,3,1.5,3.5,,
1998,4.00,2,5,4,,
2000,10.00,4,1,5,,Downloaded 500 images p2
2002,10.00,3,1,5,,Downloaded 500 images p2
2008,3.00,1,3,1.5,,
2009,6.00,1.5,3,2.5,,
2012,6.00,2,3.5,3,,
2014,2.50,2,7,4,,
2020,6.00,2,2,1.5,,
2024,5.00,2,4,2,,
2026,6.00,2,4,3,,
2029,5.00,2,3,2,,
2030,6.00,2,3,4,,
2031,3.00,3,4,4,,
2032,7.00,3,2,3,,
2033,8.00,3,2,4,,
2034,7.00,1,4,3,,
2035,6.00,2,4,3,,
2036,8.00,4,2,2,,
2040,8.00,3,3,4,,
2041,8.00,3.5,2,1.5,,
2042,7.00,4,2,5,,
2043,4.00,2,3.5,2,,
2044,9.00,4,1,5,,
2047,3.00,1.5,4,1.5,,
2048,5.00,2,4,2,,
2049,3.00,1,3,2,,
2050,4.00,1,2,3,,
2051,3.00,1.5,5,2,,
2052,8.00,4,4,5,,
2053,6.00,1,2,1.5,,
2058,6.00,2,1,2,,
2062,7.00,2,2,2,,
2064,3.00,2,7,4,,
2069,8.00,2,2,2,,
2070,7.00,2,2.5,1.5,,
2076,6.00,3,4,2,,
2078,7.00,3,2,3,,
2079,7.00,3,2,3,,
2080,6.00,2,3,3,,
2081,6.00,3,3,4,,
2082,6.00,3,3,4,,
2083,6.00,3,3,4,,
2084,7.00,3,3,5,,
2085,6.00,1.5,2.5,4,,
2086,6.00,2.5,3.5,2,,
2087,8.00,5,2,5,,
2088,7.00,3,3.5,3.5,,
2089,4.00,2,2.5,4,,
2091,6.00,2,2.5,3,,
2092,5.00,1,2.5,1,,
2093,6.00,1.5,2,1.5,,
2094,7.00,2.5,2,2.5,,
2095,8.00,2,1.5,1,,
2096,6.00,2,2.5,1.5,,
2097,8.00,2.5,2,3,,
2098,8.00,3,3,5,,
2100,4.00,1.5,3,2.5,,
2101,6.50,2,3.5,3,,
2102,5.00,2,3,3,,
2103,5.00,2.5,4,2,,
2104,5.00,2.5,4,2,,
2105,7.00,2.5,2.5,4,,
2107,4.00,1.5,2.5,1,,
2108,6.00,3,2,3.5,,
2114,7.00,4,2.5,4,,
2117,6.00,1,2,2,,
2119,4.00,1,2.5,2,,
2120,6.00,1.5,3,2,,
2121,6.00,2,3,2.5,,
2132,6.00,2,3,2.5,,
2136,7.00,3,3,3.5,,
2137,6.50,2.5,3.5,3,,
2138,7.50,2,3,4,,
2140,4.00,1.5,3,3,,
2141,2.00,1.5,3.5,3.5,,
2142,6.00,3,2.5,4,,
2145,7.00,2,2,2,,
2146,7.00,2.5,2,3,,
2147,5.00,2,3,1.5,,
2148,5.00,2,3.5,3.5,,
2149,3.00,1,5,1,,
