ID,Date,Subject,Type,Activity,Start,End,,,,,
42,9/14/2023,Sleep Therapy,Data Entry,Sleep journal data entry,11:38 PM,11:48 PM,,,,,
43,9/21/2023,OP Systems,Lab,Lab #3 p1,11:16 PM,1:02 PM,,,,,
44,9/21/2023,Digital Design,Lab,Lab #3 p1,1:18 PM,1:45 PM,,,,,
45,9/22/2023,Digital Design,Lab,Lab #3 p2,4:18 PM,5:04 PM,,,,,
46,9/22/2023,Tech Comm,Reading,Reading Ch 6 p1,5:10 PM,6:23 PM,,,,,
47,9/22/2023,Digital Design,Lab,Lab #4 p1,6:24 PM,10:20 PM,,,,,
48,9/23/2023,Digital Design,Lab,Lab #4 p2,5:07 PM,10:00 PM,,,,,
49,9/24/2023,Digital Design,Lab,Lab #4 p3,2:44 PM,4:20 PM,,,,,
50,9/24/2023,Digital Design,Lab,Lab #4 p4,4:40 PM,10:43 PM,,,,,
51,9/25/2023,Digital Design,Lab,Lab #4 p5,11:37 AM,12:20 PM,,,,,
52,9/25/2023,Digital Design,Lab,Lab #4 p6,1:15 PM,2:00 PM,,,,,
53,9/25/2023,Digital Design,Lab,Lab #4 p7,2:56 PM,3:41 PM,,,,,
54,9/26/2023,Digital Design,Lab,Lab #4 p8,11:16 AM,1:45 PM,,,,,
55,9/27/2023,Digital Design,Lab,Lab #4 p9,11:56 AM,12:20 PM,,,,,
56,9/27/2023,Digital Design,Lab,Lab #4 p10,3:53 PM,5:22 PM,,,,,
57,9/27/2023,CORG,Lab,Lab #4 p1,5:43 PM,9:08 PM,,,,,
58,9/28/2023,OP Systems,Lab,Lab #4,10:55 AM,11:42 AM,,,,,
59,9/28/2023,OP Systems,Quiz,Quiz #3,11:54 AM,12:22 PM,,,,,
60,9/28/2023,Tech Comm,Essay,Process Description p1,12:53 PM,1:45 PM,,,,,
61,9/29/2023,CORG,Quiz,Quiz #4,6:00 PM,6:43 PM,,,,,
62,9/29/2023,Digital Design,Lab,Lab #4 p11,8:33 PM,10:46 PM,,,,,
63,9/30/2023,Digital Design,Lab,Lab #4 p12,1:47 PM,2:35 PM,,,,,
64,9/30/2023,Tech Comm,Essay,Process Description p2,2:36 PM,10:49 PM,,,,,
65,10/1/2023,Tech Comm,Project,Process Desc Draft p1,1:09 PM,1:20 PM,,,,,
66,10/1/2023,CORG,Lab,Lab #3 p1,4:09 PM,9:49 PM,,,,,
67,10/2/2023,Life,Chores,Keyfob replacement purchase,10:25 PM,10:54 PM,,,,,
68,10/2/2023,CORG,Lab,Lab #3,4:23 PM,8:43 PM,,,,,
69,10/5/2023,OP Systems,Lab,Lab #5 p1,11:07 AM,11:41 AM,,,,,
70,10/5/2023,OP Systems,Lab,Lab #5 p2,11:52 AM,1:47 PM,,,,,
71,10/6/2023,OP Systems,Lab,Lab #5 p3,10:14 AM,12:11 PM,,,,,
72,10/6/2023,OP Systems,Lab,Lab #5 p4,1:25 PM,4:13 PM,,,,,
73,10/6/2023,Tech Comm,Homework,Ethics Assignment,4:43 PM,5:37 PM,,,,,
74,10/6/2023,CORG,Quiz,Quiz 5,5:41 PM,5:50 PM,,,,,
75,10/7/2023,Digital Design,Lab,ZyBooks: Sequential Logic p1,1:12 PM,5:12 PM,,,,,
76,10/8/2023,Digital Design,Lab,ZyBooks: Sequential Logic p2,11:40 AM,3:16 PM,,,,,
77,10/8/2023,Digital Design,Lab,Lecture Review: Memory,8:50 PM,10:43 PM,,,,,
78,10/9/2023,Digital Design,Lab,Lecture Review: Oct 3,9:57 AM,11:03 AM,,,,,
79,10/9/2023,Digital Design,Lab,Lecture Review Oct 5 p1,11:04 AM,12:10 PM,,,,,
80,10/9/2023,Digital Design,Lab,Lecture Review Oct 5 p2,2:00 PM,2:47 PM,,,,,
81,10/9/2023,Digital Design,Lab,Lab #5 p1,4:36 PM,6:36 PM,,,,,
82,10/9/2023,Digital Design,Lab,Lab #5 p2,8:30 PM,10:00 PM,,,,,
83,10/10/2023,Tech Comm,Project,Process Desc Draft p2,9:12 AM,9:41 AM,,,,,
84,10/10/2023,Tech Comm,Project,Recommendation Report p1,9:41 AM,11:27 AM,,,,,
85,10/10/2023,Digital Design,Lab,Lab #5 p3,11:32 AM,12:53 PM,,,,,
86,10/10/2023,Digital Design,Lab,Lab #5 p4,3:24 PM,5:29 PM,,,,,
87,10/10/2023,Digital Design,Lab,Lab #5 p5,7:40 PM,9:31 PM,,,,,
88,10/11/2023,Tech Comm,Project,Recommendation Report p2,2:44 PM,4:18 PM,,,,,
89,10/11/2023,Tech Comm,Project,Recommendation Report p3,4:48 PM,6:22 PM,,,,,
90,10/11/2023,OP Systems,Exam,Study for Exam,8:30 AM,9:20 AM,,,,,
91,10/12/2023,Tech Comm,Project,Recommendation Report p4,12:07 PM,12:16 PM,,,,,
92,10/12/2023,Digital Design,Lab,Lab #5 p6,12:26 PM,12:49 PM,,,,,
93,10/12/2023,Digital Design,Lab,Lab #6 p1,12:49 PM,1:45 PM,,,,,
94,10/14/2023,Digital Design,Lab,Lab #6 p2,2:40 PM,9:00 PM,,,,,
95,10/15/2023,Digital Design,Lab,Lab #6 p3,2:28 PM,3:29 PM,,,,,
96,10/15/2023,Digital Design,Lab,Lab #6 p4,3:40 PM,3:50 PM,,,,,
97,10/15/2023,Digital Design,Lab,Lab #6 p5,5:04 PM,5:53 PM,,,,,
98,10/15/2023,Digital Design,Lab,Lab #6 p6,7:06 PM,10:31 PM,,,,,
99,10/16/2023,Digital Design,Lab,Lab #6 p8,10:04 AM,11:05 AM,,,,,
100,10/16/2023,Digital Design,Lab,Lab #6 p9,11:26 AM,12:26 PM,,,,,
101,10/16/2023,Digital Design,Lab,Lab #6 p10,12:47 PM,1:47 PM,,,,,
102,10/16/2023,Digital Design,Lab,Lab #6 p11,2:25 PM,10:28 PM,,,,,
103,10/17/2023,Digital Design,Quiz,Study for quiz #3 p1,11:22 AM,12:05 PM,,,,,
104,10/17/2023,Digital Design,Quiz,Study for quiz #3 p2,1:04 PM,1:22 PM,,,,,
105,10/18/2023,Digital Design,Lab,Lab #6 p12,10:16 AM,11:19 AM,,,,,
106,10/19/2023,Digital Design,Lab,Lab #6 p13,11:42 AM,12:56 PM,,,,,
107,10/19/2023,Digital Design,Lab,Lab #6 p14,9:31 PM,10:30 PM,,,,,
108,10/20/2023,Digital Design,Lab,Lab #6 p15,1:49 PM,2:15 PM,,,,,
109,10/20/2023,CORG,Plan,Lecture planning p1,2:35 PM,2:51 PM,,,,,
110,10/20/2023,CORG,Quiz,Quiz #6,2:51 PM,3:00 PM,,,,,
111,10/20/2023,CORG,Plan,Lecture planning p2,3:03 PM,3:41 PM,,,,,
112,10/28/2023,OP Systems,Lab,Lab #7 p1,2:42 PM,5:49 PM,,,,,
113,10/29/2023,Tech Comm,Project,Recommendation Report p5,11:46 AM,12:46 PM,,,,,
114,10/29/2023,Tech Comm,Project,Recommendation Report p6,1:08 PM,1:20 PM,,,,,
115,10/29/2023,Digital Design,Quiz,Practice Quiz #4 p1,1:24 PM,2:24 PM,,,,,
116,10/29/2023,Digital Design,Lab,Lab #8 p1,2:30 PM,2:46 PM,,,,,
117,10/29/2023,Tech Comm,Project,Recommendation Report p7,4:25 PM,4:45 PM,,,,,
118,10/29/2023,Digital Design,Lab,Lab #8 p2,4:46 PM,6:24 PM,,,,,
119,10/29/2023,Digital Design,Lab,Lab #8 p3,8:24 PM,9:03 PM,,,,,
120,10/30/2023,Digital Design,Quiz,Practice Quiz #4 p2,12:02 PM,12:21 PM,,,,,
121,10/30/2023,OP Systems,Lab,Lab #8 p4,1:22 PM,2:58 PM,,,,,
122,10/30/2023,Digital Design,Quiz,Practice Quiz #4 p3,2:59 PM,3:05 PM,,,,,
123,11/9/2023,Digital Design,Lab,Lab #10,10:50 AM,1:20 PM,,,,,
124,11/9/2023,Digital Design,Lab,Lab #10,3:30 PM,4:54 PM,,,,,
125,11/10/2023,Digital Design,Lab,Lab #10,4:58 PM,6:08 PM,,,,,
126,11/10/2023,Digital Design,Lab,Lab #10,7:55 PM,8:30 PM,,,,,
127,11/11/2023,Digital Design,Lab,Lab #10,11:06 AM,12:06 PM,,,,,
128,11/11/2023,Digital Design,Lab,Lab #10,1:08 PM,2:08 PM,,,,,
129,11/11/2023,Digital Design,Lab,Lab #10,2:44 PM,3:44 PM,,,,,
130,11/11/2023,Digital Design,Lab,Lab #10,5:30 PM,6:09 PM,,,,,
131,11/11/2023,OP Systems,Lab,Lab #10 p1,6:57 PM,9:50 PM,,,,,
132,11/12/2023,Digital Design,Quiz,Practice Quiz #5 p1,10:40 AM,10:45 AM,,,,,
133,11/12/2023,Digital Design,Quiz,Watch 11/7 lecture,10:46 AM,2:01 PM,,,,,
134,11/12/2023,Digital Design,Quiz,Practice Quiz #5 p2,2:03 PM,2:25 PM,,,,,
135,11/12/2023,Digital Design,Quiz,Practice Quiz #5 p3,5:05 PM,6:06 PM,,,,,
136,11/12/2023,Digital Design,Quiz,Practice Quiz #5 p4,6:22 PM,7:15 PM,,,,,
137,11/12/2023,Digital Design,Quiz,Practice Quiz #5 p5,7:17 PM,7:50 PM,,,,,
138,11/13/2023,Digital Design,Quiz,Practice Quiz #5 p6,9:09 AM,9:27 AM,,,,,
139,11/13/2023,Digital Design,Quiz,Review Quiz #5 p1,3:01 PM,4:48 PM,,,,,
140,11/14/2023,Digital Design,Quiz,Review Quiz #5 p2,11:03 AM,1:04 PM,,,,,
141,11/15/2023,OP Systems,Lab,Lab #10 p2,3:53 PM,5:22 PM,,,,,
142,11/15/2023,OP Systems,Lab,Lab #10 p3,8:08 PM,10:06 PM,,,,,
143,11/16/2023,Tech Comm,Project,Resume,12:23 PM,1:27 PM,,,,,
144,11/16/2023,Digital Design,Lab,Lab 11 p1,2:53 PM,3:28 PM,,,,,
145,11/16/2023,CORG,Lab,Lab #6 p1,6:19 PM,7:51 PM,,,,,
146,11/16/2023,CORG,Lab,Lab #6 p2,7:52 PM,8:40 PM,,,,,
147,11/16/2023,CORG,Lab,Lab #6 p3,10:42 PM,11:46 PM,,,,,
148,11/16/2023,CORG,Lab,Lab #6 p4,11:50 AM,1:04 PM,,,,,
149,11/19/2023,CORG,Lab,Lab #6 p5,11:15 AM,12:16 PM,,,,,
150,11/19/2023,CORG,Lab,Lab #6 p6,12:26 PM,1:26 PM,,,,,
151,11/19/2023,CORG,Lab,Lab #6 p7,1:36 PM,1:56 PM,,,,,
152,11/19/2023,CORG,Lab,Lab #6 p8,3:33 PM,5:53 PM,,,,,
153,11/19/2023,CORG,Lab,Lab #6 p9,6:20 PM,7:00 PM,,,,,
154,11/20/2023,CORG,Lab,Lab #6 p10,11:12 AM,11:23 AM,,,,,
155,11/20/2023,CORG,Lab,Lab #6 p11,11:36 AM,12:27 PM,,,,,
156,11/20/2023,CORG,Lab,Lab #6 p12,12:49 PM,1:28 PM,,,,,
157,11/20/2023,CORG,Lab,Lab #6 p13,1:29 PM,1:49 PM,,,,,
158,11/20/2023,CORG,Lab,Lab #6 p14,1:59 PM,2:59 PM,,,,,
159,11/20/2023,CORG,Lab,Lab #6 p15,3:09 PM,4:09 PM,,,,,
160,11/20/2023,CORG,Lab,Lab #6 p16,4:20 PM,5:10 PM,,,,,
161,11/20/2023,CORG,Lab,Lab #6 p17,8:02 PM,9:30 PM,,,,,
162,11/21/2023,CORG,Lab,Lab #6 p18,11:06 AM,12:09 PM,,,,,
163,11/21/2023,OP Systems,Lab,Lab #11 p1,12:12 PM,12:57 PM,,,,,
164,11/21/2023,OP Systems,Quiz,Quiz #6,8:45 PM,9:14 PM,,,,,
165,11/22/2023,OP Systems,Lab,Lab #11 p2,12:40 PM,4:02 PM,,,,,
166,11/22/2023,Digital Design,Lab,Lab #11 p2,4:20 PM,6:23 PM,,,,,
167,11/24/2023,Digital Design,Lab,Lab #11 p3,11:05 AM,12:08 PM,,,,,
168,11/24/2023,Digital Design,Lab,Lab #11 p4,12:18 PM,1:18 PM,,,,,
169,11/24/2023,Digital Design,Lab,Lab #11 p5,1:28 PM,2:30 PM,,,,,
170,11/24/2023,Digital Design,Lab,Lab #11 p6,5:33 PM,7:33 PM,,,,,
171,11/24/2023,Digital Design,Lab,Lab #11 p7,10:17 PM,10:39 PM,,,,,
172,11/25/2023,Digital Design,Lab,Lab #11 p8,10:32 AM,11:51 AM,,,,,
173,11/25/2023,Digital Design,Lab,Lab #12 p1,12:07 PM,1:09 PM,,,,,
174,11/25/2023,Digital Design,Lab,Lab #12 p2,1:22 PM,2:55 PM,,,,,
175,11/25/2023,Digital Design,Lab,Lab #12 p3,9:21 PM,10:01 PM,,,,,
176,11/26/2023,Tech Comm,Project,RFP Statement of Work p1,11:39 AM,12:40 PM,,,,,
177,11/26/2023,Tech Comm,Project,RFP Statement of Work p2,12:58 PM,2:07 PM,,,,,
178,11/26/2023,Tech Comm,Project,RFP Timeline p1,2:24 PM,3:16 PM,,,,,
179,11/26/2023,Tech Comm,Project,RFP Budget p1,3:52 PM,5:06 PM,,,,,
180,11/27/2023,Digital Design,Lab,Lab #12 p4,11:19 AM,12:20 PM,,,,,
181,11/27/2023,Digital Design,Lab,Lab #12 p5,4:08 PM,5:09 PM,,,,,
182,11/27/2023,Digital Design,Lab,Lab #12 p6,5:23 PM,6:35 PM,,,,,
183,11/27/2023,Digital Design,Lab,Lab #12 p7,6:58 PM,9:15 PM,,,,,
184,11/28/2023,Tech Comm,Project,RFP Statement of Work p3,11:05 AM,12:42 PM,,,,,
185,11/28/2023,Tech Comm,Project,RFP Budget p2,6:02 PM,7:02 PM,,,,,
186,11/28/2023,Tech Comm,Project,RFP Budget p3,7:15 PM,8:37 PM,,,,,
187,11/29/2023,Digital Design,Lab,Lab #12 p8,2:49 PM,3:49 PM,,,,,
188,11/29/2023,Digital Design,Lab,Lab #12 p9,3:59 PM,4:25 PM,,,,,
189,11/29/2023,Digital Design,Lab,Lab #12 p10,9:46 PM,10:21 PM,,,,,
190,11/30/2023,Digital Design,Lab,Lab #12 p11,10:12 AM,12:53 PM,,,,,
191,11/30/2023,Digital Design,Lab,Lab #12 p12,1:03 PM,1:53 PM,,,,,
192,11/30/2023,Digital Design,Quiz,Practice Quiz #6 p1,9:47 PM,10:35 PM,,,,,
193,12/19/2023,Productivity,Plan,Create daily plan,12:50 PM,1:01 PM,,,,,
194,12/19/2023,Life,Errand,Look into TSA Pre-check,1:03 PM,1:13 PM,,,,,
195,12/19/2023,CORG,Project,Lecture #2 p1,1:14 PM,2:07 PM,,,,,
196,12/19/2023,Entertainment,TV,Watch tv show,2:07 PM,2:49 PM,,,,,
197,12/19/2023,Productivity,Chore,Pack up items and head to appointment,2:49 PM,3:00 PM,,,,,
198,12/19/2023,Digital Design,Meeting,Dr. Doom Meeting,3:00 PM,3:30 PM,,,,,
199,12/19/2023,Life,Eat,Get taco bell and eat,3:30 PM,4:30 PM,,,,,
200,12/19/2023,Productivity,Prep,Head into library and set up stuff,4:30 PM,4:45 PM,,,,,
201,12/19/2023,Life,Transition,Head home,4:45 PM,5:10 PM,,,,,
202,12/20/2023,Productivity,Plan,Create daily plan,2:07 PM,2:11 PM,,,,,
203,12/20/2023,CORG,Project,Watch Lecture #2 p2,2:11 PM,3:14 PM,,,,,
204,12/20/2023,Productivity,Data Entry,Break + data entry p1,3:15 PM,3:31 PM,,,,,
205,12/20/2023,CORG,Project,Watch Lecture #3 p1,3:31 PM,4:31 PM,,,,,
206,12/20/2023,Productivity,Data Entry,Break + data entry p2,4:32 PM,4:47 PM,,,,,
207,12/20/2023,CORG,Project,Watch Lecture #3 p2,4:50 PM,5:32 PM,,,,,
208,12/20/2023,CORG,Project,Watch Lecture #4 p1,5:33 PM,5:47 PM,,,,,
209,12/20/2023,Productivity,Data Entry,Break + data entry p3,5:48 PM,6:04 PM,,,,,
210,12/21/2023,Productivity,Data Entry,Create daily plan,11:01 AM,11:10 AM,,,,,
211,12/21/2023,CORG,Project,Watch Lecture #4 p2,11:11 AM,12:13 PM,,,,,
212,12/21/2023,Productivity,Data Entry,Break + data entry p4,12:15 PM,12:29 PM,,,,,
213,12/21/2023,CORG,Project,Watch Lecture #4 p3,12:30 PM,12:38 PM,,,,,
214,12/21/2023,CORG,Project,Watch Lecture #5 p1,12:39 PM,1:25 PM,,,,,
215,12/21/2023,CORG,Project,Watch Lecture #6 p1,1:25 PM,1:29 PM,,,,,
216,12/21/2023,Productivity,Data Entry,Break + data entry p4,1:32 PM,1:44 PM,,,,,
217,12/21/2023,CORG,Project,Watch Lecture #6 p2 - Datapath End,1:44 PM,2:22 PM,,,,,
218,12/21/2023,CORG,Project,Watch Lecture #6 p3 - IO Start,2:22 PM,2:44 PM,,,,,
219,12/21/2023,Productivity,Data Entry,Break + data entry p5,2:45 PM,3:00 PM,,,,,
220,12/21/2023,CORG,Project,Watch Lecture #6 p4,3:06 PM,3:48 PM,,,,,
221,12/21/2023,CORG,Project,Watch Lecture #7 p1,3:49 PM,4:06 PM,,,,,
222,12/22/2023,Productivity,Plan,Make daily plan,11:04 AM,11:10 AM,,,,,
223,12/22/2023,CORG,Project,Make Von Nueman Quiz,11:11 AM,11:53 AM,,,,,
224,12/22/2023,CORG,Project,Make Datapath Quiz p1,11:54 AM,12:11 PM,,,,,
225,12/22/2023,Productivity,Data Entry,Break + Data Entry,12:15 PM,12:27 PM,,,,,
226,12/22/2023,CORG,Project,Make Datapath Quiz p2,12:28 PM,1:02 PM,,,,,
227,12/22/2023,CORG,Project,Watch Lecture #7 p2,1:06 PM,1:28 PM,,,,,
228,12/22/2023,Productivity,Data Entry,Break + Data Entry,1:30 PM,1:45 PM,,,,,
229,12/22/2023,CORG,Project,Watch Lecture #7 p3,1:45 PM,1:59 PM,,,,,
230,12/22/2023,CORG,Project,Watch Lecture #7 p4,2:01 PM,2:48 PM,,,,,
231,12/31/2023,Productivity,Plan,Revise study plan,1:52 PM,2:35 PM,,,,,
232,12/31/2023,CORG,Project,Watch Lecture #7 p4,2:45 PM,3:15 PM,,,,,
233,12/31/2023,Productivity,Data Entry,Break + Data Entry,3:16 PM,3:21 PM,,,,,
234,1/1/2024,Productivity,Plan,Make daily plan,5:30 PM,5:39 PM,,,,,
235,1/1/2024,CORG,Project,Watch Lecture #8 p1,5:40 PM,6:05 PM,,,,,
236,1/1/2024,Life,Routine,Un Shiza,6:05 PM,6:12 PM,,,,,
237,1/1/2024,Life,Chores,Eat + Wash Dishes,6:12 PM,6:59 PM,,,,,
238,1/1/2024,CORG,Project,Watch Lecture #8 p2,6:59 PM,7:56 PM,,,,,
239,1/1/2024,Life,Routine,Un Shiza,7:56 PM,8:09 PM,,,,,
240,1/1/2024,CORG,Project,Watch Lecture #9 p1,8:10 PM,8:31 PM,,,,,
241,1/1/2024,CORG,Project,Watch Lecture #10 p1,8:31 PM,9:10 PM,,,,,
242,1/2/2024,Productivity,Plan,Make daily plan,12:31 PM,12:40 PM,,,,,
243,1/2/2024,Life,Errand,Get meds refilled,12:41 PM,12:47 PM,,,,,
244,1/2/2024,Life,Eat,Eat Lunch,12:50 PM,12:58 PM,,,,,
245,1/2/2024,Life,Errand,Call to get info on key programming,1:04 PM,1:42 PM,,,,,
246,1/2/2024,Life,Errand,Schedule dentist appointment,1:43 PM,1:49 PM,,,,,
247,1/2/2024,Life,Errand,Handle car plates renewal,1:50 PM,2:05 PM,,,,,
248,1/2/2024,Life,Errand,Call WSU about tuition and purchase gift,2:05 PM,2:31 PM,,,,,
249,1/2/2024,Life,Errand,Get battery in both key fobs,2:38 PM,3:00 PM,,,,,
250,1/2/2024,Productivity,Plan,Make plan #2 of day,4:11 PM,4:16 PM,,,,,
251,1/2/2024,CORG,Project,Lecture,4:18 PM,5:19 PM,,,,,
252,1/2/2024,CORG,Project,Lecture,6:33 PM,6:46 PM,,,,,
253,1/2/2024,CORG,Project,Lecture,7:02 PM,8:10 PM,,,,,
254,1/2/2024,Therapy,Journal,Weekly Journal,8:11 PM,9:18 PM,,,,,
255,1/2/2024,Therapy,Homework,Reading OCD email,9:31 PM,10:15 PM,,,,,
256,1/2/2024,Therapy,Homework,Do OCD worksheet,10:15 PM,10:35 PM,,,,,
257,1/4/2024,CORG,Project,Lecture,1:36 PM,2:31 PM,,,,,
258,1/4/2024,CORG,Project,Lecture,2:42 PM,3:26 PM,,,,,
259,1/4/2024,CORG,Project,Lecture,3:26 PM,3:42 PM,,,,,
260,1/4/2024,Productivity,Data Entry,Break + Data entry,3:42 PM,3:53 PM,,,,,
261,1/4/2024,CORG,Project,Lecture,3:56 PM,4:20 PM,,,,,
262,1/4/2024,CORG,Project,Lecture,4:20 PM,4:52 PM,,,,,
263,1/4/2024,Productivity,Plan,Plan Spring 2023 goals,5:20 PM,6:01 PM,,,,,
264,1/5/2024,CORG,Project,Lecture,3:31 PM,3:52 PM,,,,,
265,1/5/2024,CORG,Project,Lecture,4:00 PM,4:39 PM,,,,,
266,1/5/2024,Productivity,Data Entry,Break + Data Entry,4:40 PM,4:50 PM,,,,,
267,1/5/2024,Productivity,Plan,Make daily plan,4:50 PM,4:54 PM,,,,,
268,1/5/2024,CORG,Project,Lecture,4:56 PM,5:39 PM,,,,,
269,1/5/2024,CORG,Project,Lecture,5:50 PM,6:19 PM,,,,,
270,1/5/2024,CORG,Project,Lecture,6:31 PM,6:40 PM,,,,,
271,1/5/2024,CORG,Project,Lecture,8:02 PM,8:22 PM,,,,,
272,1/5/2024,Productivity,Notion,Set up Spring 2024 Notion page,8:27 PM,9:16 PM,,,,,
273,1/6/2024,Finance,Prep,Download all files,12:22 PM,12:31 PM,,,,,
274,1/6/2024,Productivity,Prep,Input due dates into Notion,12:36 PM,12:47 PM,,,,,
275,1/6/2024,Productivity,Prep,Input due dates into Notion,12:47 PM,12:49 PM,,,,,
276,1/6/2024,Data SA,Prep,Download all files,12:50 PM,1:29 PM,,,,,
277,1/6/2024,Finance,Prep,Reading syllabus & take notes,1:55 PM,2:54 PM,,,,,
278,1/6/2024,Data SA,Prep,Reading syllabus & take notes,5:27 PM,5:44 PM,,,,,
279,1/6/2024,Productivity,Prep,Update Notion + intro assignment,5:45 PM,6:32 PM,,,,,
280,1/6/2024,CORG,Project,Data Entry,6:37 PM,6:51 PM,,,,,
281,1/6/2024,CORG,Project,Data Entry,7:08 PM,7:35 PM,,,,,
282,1/7/2024,Productivity,Plan,Make daily plan,12:10 PM,12:19 PM,,,,,
283,1/7/2024,CORG,Project,Data Entry,12:19 PM,12:51 PM,,,,,
284,1/7/2024,CORG,Project,Data Entry,1:24 PM,1:58 PM,,,,,
285,1/7/2024,CORG,Project,Analysis brainstorm,1:58 PM,2:27 PM,,,,,
286,1/7/2024,CORG,Project,Data analysis p1,2:28 PM,2:59 PM,,,,,
287,1/7/2024,Break,Break,Break,2:59 PM,3:09 PM,,,,,
288,1/7/2024,CORG,Project,Data analysis p2,3:09 PM,3:14 PM,,,,,
289,1/7/2024,CORG,Project,Data analysis p3,3:29 PM,4:29 PM,,,,,
290,1/7/2024,Break,Break,Break,4:30 PM,4:43 PM,,,,,
291,1/7/2024,CORG,Project,Data analysis p4,4:44 PM,5:43 PM,,,,,
292,1/7/2024,Break,Break,Break,5:43 PM,6:05 PM,,,,,
293,1/7/2024,CORG,Project,Data analysis p5,6:06 PM,7:00 PM,,,,,
294,1/8/2024,Productivity,Plan,Make daily plan,11:23 AM,11:32 AM,,,,,
295,1/8/2024,Databases,Prep,Finish syllabus notes,11:33 AM,11:47 AM,,,,,
296,1/8/2024,Productivity,Prep,Update Notion: Quizzes + Database Data,11:49 AM,12:03 PM,,,,,
297,1/8/2024,Productivity,Prep,Add class attendance to habit tracker,12:03 PM,12:08 PM,,,,,
298,1/8/2024,Productivity,Prep,Download all files + Reading syllabus,12:09 PM,12:37 PM,,,,,
299,1/8/2024,Circuits,Prep,Reading lab syllabus,12:37 PM,12:55 PM,,,,,
