ID,Date,Subject,Type,Activity,Start,End,Location,Energy,Emotions,iProgress,fProgress,Time,Notes,
71,2025-01-18,Productivity,Data Entry,Enter data + redeem points,7:03 PM,7:30 PM,"Home, room",m,"overwhelmed, tired, energetic",0,100,27.00,"have a headache, brain isn't working too well",
72,2025-01-18,Graph,Custom_Quiz,Create custom quiz #1 W1D1L1 + W1D2L2,9:18 PM,9:35 PM,"Home, room",l,"doubtful, overwhelmed",0,100,17.00,,
73,2025-01-19,Productivity,Project,Report proj pX - fix file select bug,11:05 AM,11:02 AM,"Home, room",l,"tired, lonely",0,100,-3.00,,
74,2025-01-19,Graph,Custom_Quiz,Take custom quiz #1 p1,11:02 AM,12:21 PM,"Home, room",l,"tired, apathetic, dread",0,31,79.00,,
75,2025-01-19,Life,Chore,Make sandwhich/lunch + eat,12:23 PM,1:02 PM,"Home, kitchen",l,"tired, annoyed, anxious",0,100,39.00,,
76,2025-01-19,Graph,Custom_Quiz,Take custom quiz #1 p2,5:10 PM,6:27 PM,"Home, room",m,regretful,31,50,77.00,,
77,2025-01-19,Life,Chore,Clean dishes,7:16 PM,7:30 PM,"Home, kitchen",m,"sad, lonely, guilty",0,100,14.00,,
78,2025-01-19,Graph,Custom_Quiz,Take custom quiz #1 p3,9:00 PM,10:55 PM,"Home, room",m,,50,95,115.00,,
79,2025-01-19,Graph,Custom_Quiz,Take custom quiz #1 p4,11:15 PM,11:47 PM,"Home, room",l,"tired, confused",95,100,32.00,,
80,2025-01-20,cTheory,Custom_Quiz,Create custom quiz w1d1l1 p1,10:12 AM,10:38 AM,"Home, room",m,"bored, anxious",0,100,26.00,,
81,2025-01-20,Productivity,Data Entry,Enter data p1,12:30 PM,12:39 PM,"Home, room",h,"anxious, excited",0,50,9.00,10 prod_data entries,
82,2025-01-20,Productivity,Data Entry,Enter data p2,2:51 PM,3:17 PM,"Home, room",m,,50,100,26.00,,
83,2025-01-20,Life,Chore,vacuum,4:20 PM,4:51 PM,Home,m,,0,100,31.00,,
84,2025-01-20,cTheory,Custom_Quiz,Custom quiz p2,9:16 PM,10:07 PM,"Home, room",l,tired,0,85,51.00,,
85,2025-01-20,cTheory,Custom_Quiz,Custom quiz p2,10:40 PM,10:49 PM,"Home, room",l,tired,85,100,9.00,,
86,2025-01-21,Life,Errand,Program spare key fob,10:22 AM,11:40 AM,"Car, transit; Store, Prestige Lock & Key",l,"tired, anxious",0,100,78.00,,
87,2025-01-21,Productivity,Plan,"Create productivity report using study only data, enter goal data, and make plan for week p1",11:52 AM,12:19 PM,"Home, room",m,overwhelmed,0,33,27.00,,
88,2025-01-21,Life,Chore,Help mom,12:19 PM,12:35 PM,"Home, basement",m,annoyed,0,100,16.00,,
89,2025-01-21,Productivity,Plan,Make plan for week p2,12:35 PM,1:06 PM,"Home, room",m,"overwhelmed, doubt",33,100,31.00,,
90,2025-01-21,Life,Chore,Fix airtag,1:28 PM,2:41 PM,"Home, room",m,"doubt, overwhelmed",33,100,73.00,,
91,2025-01-21,Finance,Homework,Bank account transfer p1,2:46 PM,2:58 PM,"Home, room",m,anxious,0,100,12.00,,
92,2025-01-21,Life,Chore,Make lunch for tomorrow,2:59 PM,3:19 PM,"Home, room",m,anxious,0,100,20.00,,
93,2025-01-21,Life,Chore,Get haircut,3:19 PM,3:51 PM,"Home, basement",m,,0,100,32.00,,
94,2025-01-21,Teams,Project,Image recognition project p6,4:16 PM,6:02 PM,"Home, room",m,"excited, overwhelmed",2.5,2.75,106.00,,
95,2025-01-21,Life,Exercise,Go on walk with Mom,6:03 PM,6:40 PM,"Outside, neighborhood",m,refreshed,0,100,37.00,,
96,2025-01-21,Productivity,Homework,"Create, update, and print new data collection forms p1",10:40 PM,10:55 PM,"Home, room",m,,0,80,15.00,,
97,2025-01-21,Productivity,Homework,"Create, update, and print new data collection forms p2",11:10 PM,11:59 PM,"Home, room",m,overwhelmed,80,95,49.00,,
98,2025-01-22,Productivity,Homework,"Create, update, and print new data collection forms p2",12:00 AM,12:23 AM,"Home, room",m,overwhelmed,95,100,23.00,,
99,2025-01-22,Teams,Project,Image recognition project p7.A,9:40 AM,9:56 AM,"Home, room",m,"overwhelmed, excited",2.75,2.8,16.00,,
100,2025-01-22,Teams,Project,Image recognition project p7.B,10:05 AM,1:14 PM,"Home, room",m,"overwhelmed, excited",2.8,2.4,189.00,,
101,2025-01-22,Productivity,Data Entry,Add data to sheets,1:16 PM,1:30 PM,"Home, room",m,overwhelmed,0,100,14.00,,
102,2025-01-22,OS,Project,Project #1 p1,3:06 PM,4:02 PM,"Home, room",m,,0,40,56.00,,
103,2025-01-22,cTheory,Lecture,W2D2L2,4:40 PM,6:33 PM,"WSU, Oelman",m,"embarassed, bored",0,100,113.00,,
104,2025-01-23,Teams,Project,Image recognition project p8,9:53 AM,11:35 AM,"Library, Dunbar",m,relaxed,2.8,3,102.00,,
105,2025-01-23,Teams,Lecture,Lecture W2D2L3,8:00 AM,9:15 AM,"WSU, Russ",m,"anxious, embarassed",0,100,75.00,,
106,2025-01-23,Crypto,Study,Study for quiz #1,12:17 PM,12:30 PM,"WSU, Math_Micro",m,,0,100,13.00,,
107,2025-01-23,Crypto,Lecture,W2D2L3,12:30 PM,1:50 PM,"WSU, Math_Micro",m,"relaxed, frustrated, regret",0,100,80.00,,
108,2025-01-23,Productivity,Data Entry,Enter data (paper sheets + excel),2:10 PM,2:55 PM,"Library, Dunbar",l,relaxed,0,100,45.00,"27 prod entries + some other sheet entries, also realized I made a mistake with some id assignments, had to go back and fix issues",
109,2025-01-23,Life,Research,Birthday research,3:00 PM,3:36 PM,"Library, Dunbar",l,hungry,0,100,36.00,,
110,2025-01-23,Career,Apply,Apply to SWE position: EPIC,4:50 PM,5:13 PM,"Library, Dunbar",l,doubtful,0,100,23.00,,
111,2025-01-23,Crypto,Homework,HW #2 p1,5:18 PM,6:10 PM,"Library, Dunbar",l,anxious,0,12,52.00,,
112,2025-01-24,Career,Apply,Respond to email: interview request (EPIC),10:32 AM,10:37 AM,"Home, room",l,,0,100,5.00,,
113,2025-01-24,OS,Lecture,Lecture w2d3l3,11:21 AM,12:10 PM,"Home, room",l,,0,100,49.00,,
114,2025-01-25,Productivity,Project,Time predictor proj p1,3:53 PM,5:23 PM,"Coffee shop, non-routine",l,"sad, annoyed, guilty",0,1,90.00,,
115,2025-01-25,cTheory,Homework,HW #1 p1,5:41 PM,5:57 PM,"Coffee shop, non-routine",m,,0,66,16.00,brainfog,
116,2025-01-26,cTheory,Homework,HW #1 p2,10:19 AM,10:32 AM,"Coffee shop, non-routine",m,,66,80,13.00,,
117,2025-01-26,cTheory,Homework,HW #1 p3,10:45 AM,11:10 AM,"Coffee shop, non-routine",m,,80,100,25.00,,
118,2025-01-26,Productivity,Data Entry,Data Entry p1,4:02 PM,4:16 PM,"Home, room",m,horrified,0,60,14.00,,
119,2025-01-26,Productivity,Data Entry,Data Entry p2,4:22 PM,4:35 PM,"Home, room",h,"overwhelmed, doubtful",60,100,13.00,"headache, dry mouth, slightly sore throat, brain fog, bloating, 11 entries + other sheets",
120,2025-01-26,Crypto,Custom_Quiz,W2 Custom Quiz,4:37 PM,5:12 PM,"Home, room",m,,0,100,35.00,,
121,2025-01-26,Graph,Custom_Quiz,W2 Custom Quiz,5:15 PM,6:02 PM,"Home, room",m,,0,80,47.00,,
122,2025-01-26,cTheory,Custom_Quiz,W2 Custom Quiz,7:20 PM,7:47 PM,"Home, room",m,,0,100,27.00,,
123,2025-01-26,cTheory,Homework,HW #1 p4 - email professor,7:47 PM,7:53 PM,"Home, room",m,,95,97,6.00,,
124,2025-01-26,Career,Apply,EPIC - personality assessment,7:57 PM,8:39 PM,"Home, room",m,,0,100,42.00,,
125,2025-01-26,Productivity,Plan,Plan week,8:42 PM,9:04 PM,"Home, room",l,,0,100,22.00,,
126,2025-01-26,Crypto,Homework,HW #2 p2,9:04 PM,9:24 PM,"Home, room",l,,12,17,20.00,headache,
127,2025-01-26,Productivity,Data Entry,Data entry,9:28 PM,9:53 PM,"Home, room",l,,0,100,25.00,headache,
128,2025-01-26,Productivity,Plan,Make weekly productivity report,9:53 PM,10:01 PM,"Home, room",l,,0,100,8.00,,
129,2025-01-27,Teams,Project,Image recognition p 9.A,8:41 AM,8:54 AM,"Home, room",l,"tired, apprehensive",3,3.01,13.00,,
130,2025-01-27,Teams,Project,Image recognition p 9.B,9:06 AM,10:44 AM,"Home, room",m,"successful, guilty",3.01,4,98.00,,
131,2025-01-27,Career,Apply,Phone interview prep (EPIC) p1,10:58 AM,11:15 AM,"Home, room",l,,0,5,17.00,,
132,2025-01-27,OS,Lecture,W2D1L4 Lecture,11:15 AM,12:10 PM,"Home, room",l,excited,0,100,55.00,,
133,2025-01-27,Career,Apply,Phone interview prep (EPIC) p2,3:58 PM,7:10 PM,"Home, room",l,anxious,5,50,192.00,,
134,2025-01-27,Career,Apply,Phone interview prep (EPIC) p3,9:40 PM,10:33 PM,"Home, room",l,tired,50,65,53.00,,
135,2025-01-28,Teams,Lecture,W3D1L5 Work day,8:11 AM,9:22 AM,"WSU, Russ (Underground)",l,"anxious, proud",0,100,71.00,,
136,2025-01-28,Career,Apply,Phone interview prep (EPIC) p4,9:58 AM,11:51 AM,"WSU, Underground Tunnels",l,"tired, relaxed",65,80,113.00,brainfog,
137,2025-01-28,Crypto,Lecture,W3D1L5 Lecture,12:30 PM,1:50 PM,"WSU, math_bio",l,relaxed,0,100,80.00,,
138,2025-01-28,Life,Exercise,Walk,2:22 PM,2:56 PM,"WSU, Nutter Center",l,"paranoid, anxious",0,100,34.00,sleight headache,
139,2025-01-28,Productivity,Data Entry,Enter data,3:19 PM,3:50 PM,"WSU, Underground Tunnels",l,tired,0,100,31.00,sleight headache,
140,2025-01-28,Career,Apply,Phone interview prep (EPIC) p5,3:51 PM,3:54 PM,"WSU, Underground Tunnels",l,tired,0,100,3.00,,
141,2025-01-28,Teams,Project,Image recognition p10,4:16 PM,6:24 PM,"WSU, Underground Tunnels",l,excited,4,5,128.00,,
142,2025-01-28,Graph,Lecture,Lecture W3D1L5,6:30 PM,8:20 PM,"WSU, Oelman",l,"bored, confused",0,100,110.00,,
143,2025-01-29,Career,Apply,Phone interview prep (EPIC) p6,10:16 AM,10:30 AM,"Home, room",l,"dissapointed, anxious, nervous",80,100,14.00,,
144,2025-01-29,Career,Apply,Phone interview prep (EPIC) p7,10:30 AM,11:02 AM,"Home, room",l,,0,100,32.00,,
145,2025-01-29,OS,Lecture,Lecture W3D2L5,11:20 AM,12:05 PM,"Home, room",l,,0,100,45.00,,
146,2025-01-29,Life,Chore,Clean up room + start laundry,1:08 PM,1:43 PM,"Home, room",m,discouraged,0,100,35.00,,
147,2025-01-29,Life,Homework,"Warranty sign up: Yeti, monitor screen",2:06 PM,2:56 PM,"Home, room",m,,0,100,50.00,,
148,2025-01-29,Crypto,Homework,HW #2 p3,3:05 PM,4:07 PM,"Home, room",m,,17,58.3,62.00,,
149,2025-01-30,Teams,Lecture,Lecture W3D2L5,8:07 AM,9:17 AM,"WSU, Russ (Underground)",m,"anxious, nervous",0,100,70.00,,
150,2025-01-30,Teams,Project,Image recognition p11,9:30 AM,10:56 AM,"WSU, Russ (fish bowl)",h,nervous,5,5.5,86.00,,
151,2025-01-29,cTheory,Lecture,W3D1L3 Lecture,4:40 PM,6:20 PM,"WSU, Oelman",m,"annoyed, embarassed",0,100,100.00,,
152,2025-01-30,Career,Network,Career fair,10:56 AM,12:03 PM,"WSU, Russ",h,"nervous, rejected, vulnerable",0,100,67.00,,
153,2025-01-30,Productivity,Data Entry,Enter data,2:50 PM,3:30 PM,"WSU, Underground Tunnels",m,overwhelmed,0,100,40.00,,
154,2025-01-30,Crypto,Lecture,W3D2L5,12:30 PM,1:50 PM,"WSU, Math_Bio",m,"nervous, rejected, vulnerable",0,100,80.00,,
155,2025-01-30,Productivity,Data Entry,Enter goal data,3:31 PM,3:56 PM,"WSU, Underground Tunnels",l,"anxious, overwhelmed",0,100,25.00,,
156,2025-01-30,Productivity,Plan,Update weekly plan,3:57 PM,5:44 PM,"WSU, Underground Tunnels",l,,0,100,107.00,headache,
157,2025-01-30,Graph,Homework,HW #1 p1,5:47 PM,6:17 PM,"WSU, Underground Tunnels",l,,0,16,30.00,,
158,2025-01-30,Life,Chore,"Chore block: make lunch +snack, print + organize papers, laundry, gym prep",10:30 PM,11:13 PM,"Home, room",l,"tired, sleepy",0,100,43.00,,
159,2025-01-31,Life,Exercise,"Gym (dress, exercise, shower)",10:14 AM,11:02 AM,"WSU, gym",l,paranoid,0,100,48.00,thirsty,
160,2025-01-31,OS,Lecture,Lecture W3D3L8,11:21 AM,12:06 PM,"Coffee shop, Starbucks, WSU",l,,0,100,45.00,thirsty,
161,2025-01-31,OS,Quiz,Quiz #2,12:14 PM,1:18 PM,"Coffee shop, Starbucks, WSU",l,relaxed,0,100,64.00,,
162,2025-01-31,Crypto,Homework,HW #2 p4,1:26 PM,1:56 PM,"Coffee shop, Starbucks, WSU",l,"tired, relaxed",58.3,80,30.00,,
163,2025-01-31,Life,Errand,Pick up tau beta pi stuff,2:38 PM,2:48 PM,"WSU, Russ",l,"tired, relaxed",0,100,10.00,,
164,2025-01-31,Crypto,Homework,HW #2 p5,2:56 PM,4:57 PM,"WSU, Russ",l,"tired, relaxed",80,100,121.00,,
165,2025-01-31,Productivity,Data Entry,Data Entry,4:58 PM,5:20 PM,"WSU, Russ",l,"tired, relaxed",0,100,22.00,,
166,2025-01-31,Productivity,Organize,Update Notion projects section,5:20 PM,5:25 PM,"WSU, Russ",l,relaxed,0,100,5.00,,
167,2025-01-31,Life,Errand,Fillup gas + air pressure,5:26 PM,6:05 PM,"Car, transit",l,,0,100,39.00,,
168,2025-01-31,Life,Hobby,Doordash,6:05 PM,7:04 PM,"Car, transit",l,,0,100,59.00,"feint, dizzy",
169,2025-01-31,Productivity,Project,Structure project p :reflection,8:59 PM,9:23 PM,"Home, room",h,angry,90,100,24.00,,
170,2025-02-01,Graph,Homework,HW #1 p2,11:02 AM,1:51 PM,"Home, room",m,,16,18,169.00,"headache, dehydrated",
171,2025-02-01,Graph,Homework,HW #1 p3,2:00 PM,3:49 PM,"Home, room",m,,18,20,109.00,"headache, dehydrated",
172,2025-02-01,Life,Exercise,Lift weights with Dad,4:32 PM,5:40 PM,"Home, attic",m,,0,100,68.00,light headed,
173,2025-02-01,Graph,Homework,HW #1 p4,5:54 PM,6:13 PM,"Home, room",h,,20,22,19.00,,
174,2025-02-01,Graph,Homework,HW #1 p5,6:50 PM,9:00 PM,"Home, room",l,,22,77,130.00,"headache, fatigue",
175,2025-02-01,Teams,Homework,Action Logs,9:00 PM,9:14 PM,"Home, room",l,,0,100,14.00,headache,
176,2025-02-01,Life,Chore,Clean dishes,9:14 PM,9:36 PM,"Home, kitchen",l,,0,100,22.00,,
177,2025-02-01,Productivity,Project,Time predictor proj p2.A,11:10 PM,11:59 PM,"Home, room",m,,1,1.5,49.00,,
178,2025-02-02,Productivity,Project,Time predictor proj p2.B,12:00 AM,12:30 AM,"Home, room",m,,1.5,2,30.00,,
179,2025-02-02,Productivity,Data Entry,Data entry,12:02 PM,12:42 PM,"Home, room",l,,0,100,40.00,"headache, sore muscles, sore throat, dry mouth",
180,2025-02-02,Productivity,Project,Time predictor proj p3,12:45 PM,2:31 PM,"Home, room",l,,2,2.3,106.00,"headache, sore muscles, sore throat, dry mouth",
181,2025-02-02,Life,Exercise,Walk around UD,2:42 PM,3:22 PM,"Outside, UD",l,,0,100,40.00,headache,
182,2025-02-02,Productivity,Project,Time predictor proj p4,4:02 PM,4:44 PM,"Home, room",l,,2.3,2.5,42.00,"headache, sore muscles, sore throat, dry mouth",
183,2025-02-02,OS,Project,Project #1 p2,8:01 PM,9:50 PM,"Home, room",l,,40,100,109.00,"headache, sore muscles, sore throat, sore gums, sore ears, sore jaw, dry mouth",
184,2025-02-02,Productivity,Data Entry,Enter data,9:52 PM,10:02 PM,"Home, room",l,,0,100,10.00,"headache, sore muscles, sore throat, sore gums, sore ears, sore jaw, dry mouth",
185,2025-02-02,Productivity,Plan,Create weekly plan draft 1,10:04 PM,10:29 PM,"Home, room",l,,0,100,25.00,"headache, sore muscles, sore throat, sore gums, sore ears, sore jaw, dry mouth",
186,2025-02-03,Life,Chore,"Chore block #1: plan, print sheets, declutter, email professor",10:06 AM,10:30 AM,"Home, room",m,,0,100,24.00,sleight headache,
187,2025-02-03,Finance,Budget,Budget review - Jan p1,10:43 AM,11:17 AM,"Home, room",m,"bored, anxious",0,60,34.00,sleight headache,
188,2025-02-03,OS,Lecture,W4D1L9 Review,11:17 AM,12:00 PM,"Home, room",l,,0,100,43.00,,
189,2025-02-03,Finance,Budget,Budget review - Jan p2,12:17 PM,12:38 PM,"Home, room",l,,60,100,21.00,headache,
190,2025-02-03,Productivity,Data Entry,Data Entry,5:21 PM,5:36 PM,"Home, room",m,,0,100,15.00,,
191,2025-02-03,Health,Therapy,Therapy,12:38 PM,2:05 PM,"Therapy, therapy",m,"reluctant, overwhelmed",0,100,87.00,,
192,2025-02-03,Health,Errand,Pick up meds (Therapy --> base pharmacy) + eat lunch,2:05 PM,3:10 PM,"Car, transit",m,,0,100,65.00,,
193,2025-02-03,OS,Custom Quiz,Create custom quiz w3 (all) + mon w4 + take it,5:37 PM,6:23 PM,"Home, room",m,"excited, overwhelmed",0,100,46.00,,
194,2025-02-03,cTheory,Quiz,Custom quiz #3 p1,6:25 PM,7:06 PM,"Home, room",h,excited,0,40,41.00,,
195,2025-02-03,Life,Chore,Clean dishes,7:24 PM,7:39 PM,"Home, room",h,,0,100,15.00,,
196,2025-02-03,cTheory,Quiz,Custom quiz #3 p2,8:22 PM,8:39 PM,"Home, room",h,excited,40,100,17.00,,
197,2025-02-03,Career,Network,Career fair prep p1,8:39 PM,8:49 PM,"Home, room",m,"apprehensive, angry",0,20,10.00,,
198,2025-02-04,Teams,Lecture,W4D1 Lecture,8:00 AM,9:16 AM,"WSU, Student Success Center",m,"nervous, lonely, excited",0,100,76.00,,
199,2025-02-04,Crypto,Quiz,Review HW #2 p1,9:32 AM,10:38 AM,"WSU, Russ",m,lonely,0,50,66.00,,
200,2025-02-04,Crypto,Quiz,Review HW #2 p2,12:10 PM,12:25 PM,"WSU, Underground (Fawcett)",m,"lonely, despair",50,100,15.00,,
201,2025-02-04,Crypto,Lecture,W4D1 Lecture,12:30 PM,1:47 PM,"WSU, Math_Micro",l,,0,100,77.00,,
202,2025-02-04,Career,Network,Career fair prep p2,2:02 PM,2:52 PM,"WSU, Student Union",l,,0,100,50.00,,
203,2025-02-04,Career,Network,Career Fair,2:52 PM,3:32 PM,"WSU, Apollo Room",h,"nervous, high addrenaline",0,100,40.00,,
204,2025-02-04,Graph,Homework,HW #1 p6 - prep for office hours,4:42 PM,5:18 PM,"WSU, Dunbar",h,"lonely, medium addrenaline",77,80,36.00,,
205,2025-02-04,Teams,Project,Image recognition p12,6:02 PM,6:26 PM,"WSU, Underground (Fawcett)",m,,5.5,5.6,24.00,,
206,2025-02-05,Life,Chore,Clean up lunchbox dishes,8:00 AM,8:10 AM,"Home, kitchen",l,,0,100,10.00,,
207,2025-02-05,Health,Dental,Dorothy Lane Dental,8:50 AM,9:48 AM,"Dentist, Dorothy Lane Dental",l,"embarassed, proud, fearful",0,100,58.00,,
208,2025-02-05,Life,Chore,Make lunch,10:01 AM,10:28 AM,"Home, kitchen",m,anxious,0,100,27.00,,
209,2025-02-04,Graph,Lecture,W4D1 Lecture,6:30 PM,8:20 PM,"WSU, Oelman",l,confused,0,100,110.00,,
210,2025-02-05,OS,Lecture,W4D1 Lecture,11:15 AM,11:59 AM,"WSU, Underground (Fawcett)",l,unfocused,0,100,44.00,,
